Year,Name,College,POS,ProDay/Combine,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2021,Ian Book,Notre Dame,QB,ProDay,72,211,NA,4.65,NA,32.5,115,4.2,7
2021,Shane Buechele,Southern Methodist (TX),QB,ProDay,72.25,210,NA,4.96,NA,30,114,4.6,7.34
2021,K.J. Costello,Mississippi State,QB,ProDay,76.5,225,NA,5.11,NA,27.5,103,4.75,NA
2021,Sam Ehlinger,Texas,QB,ProDay,73.13,220,NA,4.84,NA,36.5,114,4.44,7.15
2021,Justin Fields,Ohio State,QB,ProDay,74.75,227,NA,4.46,NA,NA,119,NA,NA
2021,Feleipe Franks,Arkansas,QB,ProDay,78.63,234,NA,4.61,NA,32.5,117,4.22,7.16
2021,Trey Lance,North Dakota State,QB,ProDay,75.88,224,NA,NA,NA,NA,131,NA,NA
2021,Trevor Lawrence,Clemson,QB,ProDay,77.63,213,NA,NA,NA,38.5,119,NA,NA
2021,Kellen Mond,Texas A&M,QB,ProDay,74.63,211,NA,4.62,NA,NA,122,NA,NA
2021,Jamie Newman,Wake Forest,QB,ProDay,74.88,234,NA,NA,NA,NA,114,NA,NA
2021,Peyton Ramsey,Northwestern,QB,ProDay,73.88,215,NA,4.77,NA,28,108,4.41,7.28
2021,Zach Smith,Tulsa (OK),QB,ProDay,75.38,222,NA,5.23,NA,29.5,111,4.52,7.26
2021,Zac Thomas,Appalachian State (NC),QB,ProDay,72.63,205,NA,4.59,NA,30,115,4.35,7.08
2021,Kyle Trask,Florida,QB,ProDay,77.25,236,NA,5.08,NA,31.5,113,4.38,7.08
2021,Brady White,Memphis,QB,ProDay,73,210,NA,4.84,NA,29,118,4.33,6.97
2021,Zach Wilson,Brigham Young,QB,ProDay,74.13,214,NA,NA,NA,NA,113,NA,NA
2019,David Blough,Purdue,QB,ProDay,72.25,200,NA,4.91,NA,31.5,107,4.55,7.22
2019,K.J. Carta-Samuels,Colorado State,QB,ProDay,73.5,219,NA,4.95,NA,35.5,116,4.45,7.27
2019,Keller Chryst,Tennessee,QB,ProDay,76.13,239,NA,4.9,NA,35,114,4.44,7.09
2019,Taylor Cornelius,Oklahoma State,QB,ProDay,77.63,224,NA,4.72,NA,38,119,4.33,7.06
2019,Jacob Dolegala,Central Connecticut,QB,ProDay,78.63,242,NA,5.04,NA,31.5,119,4.57,7.22
2019,Eric Dungey,Syracuse,QB,ProDay,74.75,226,NA,4.78,22,31.5,114,4.5,7.02
2019,Justice Hansen,Arkansas State,QB,ProDay,74.88,220,NA,4.94,NA,29.5,113,4.65,7.47
2019,Devlin Hodges,Samford (AL),QB,ProDay,72.38,212,NA,4.79,NA,32,103,4.53,7.38
2019,Kyle Kempt,Iowa State,QB,ProDay,76.25,225,NA,4.91,NA,27,113,4.51,7.26
2019,Tanner Mangum,Brigham Young,QB,ProDay,74.13,203,NA,4.9,NA,28,110,4.41,7.2
2019,Jalan McClendon,Baylor,QB,ProDay,76.5,222,NA,4.82,NA,31.5,114,4.4,7.09
2019,Malik Rosier,Miami (FL),QB,ProDay,72,224,NA,4.75,NA,28.5,103,4.63,7.68
2019,Michael Scarnecchia,South Carolina,QB,ProDay,75.25,213,NA,4.94,NA,29,114,4.9,7.5
2019,Tyler Wiegers,Eastern Michigan,QB,ProDay,75,224,NA,5.05,NA,29,105,4.53,7.45
2018,Max Browne,Pittsburgh,QB,ProDay,77.13,227,NA,5.1,23,30,113,4.57,7.5
2018,Ryan Burns,Stanford,QB,ProDay,76.88,245,NA,4.81,16,36,117,4.31,7.27
2018,DeVante Kincade,Grambling State (LA),QB,ProDay,71.38,198,NA,4.65,NA,31,111,4.37,7.56
2018,Alex McGough,Florida International,QB,ProDay,75.38,214,NA,4.62,NA,32.5,112,4.5,7.27
2018,Shane Morris,Central Michigan,QB,ProDay,75,206,NA,4.84,NA,31.5,108,4.58,7.33
2018,Brogan Roback,Eastern Michigan,QB,ProDay,74.88,213,NA,5.03,NA,30,113,4.45,7.5
2018,Brandon Silvers,Troy (AL),QB,ProDay,74.5,220,NA,5.06,NA,28,103,4.78,7.68
2018,Nick Stevens,Colorado State,QB,ProDay,75.38,208,NA,5.12,NA,22.5,97,4.77,7.7
2018,Chris Streveler,South Dakota,QB,ProDay,73.63,209,NA,4.51,NA,38.5,125,4.73,7.35
2018,John Wolford,Wake Forest,QB,ProDay,71.5,205,NA,4.77,NA,31,109,4.18,6.78
2017,Austin Appleby,Florida,QB,ProDay,76.13,230,NA,4.86,NA,30,113,4.4,7.13
2017,Dane Evans,Tulsa (OK),QB,ProDay,72.38,210,NA,5.05,NA,31,115,4.41,7.22
2017,Perry Hills,Maryland,QB,ProDay,74.25,209,NA,4.69,NA,32,113,4.38,7.09
2017,Justin Holman,Central Florida,QB,ProDay,75.88,215,NA,4.71,NA,35.5,110,4.21,7.19
2017,Bart Houston,Wisconsin,QB,ProDay,75,234,NA,5.12,NA,29,106,4.44,7
2017,Jeremy Johnson,Auburn,QB,ProDay,76.25,232,NA,4.75,NA,31.5,114,4.46,7.07
2017,Gunner Kiel,Cincinnati,QB,ProDay,75.25,211,NA,4.84,NA,35,117,4.53,7.47
2017,Wes Lunt,Illinois,QB,ProDay,76.25,222,NA,4.87,NA,29.5,109,4.44,7.28
2017,Sean Maguire,Florida State,QB,ProDay,73.88,219,NA,5.24,NA,24,99,4.66,7.53
2017,Nick Mullens,Southern Mississippi,QB,ProDay,72.88,214,NA,4.9,NA,31,104,4.47,7.4
2017,Philip Nelson,East Carolina (NC),QB,ProDay,73.38,203,NA,4.8,NA,35.5,115,4.42,7.08
2017,Antonio Pipkin,Tiffin (OH),QB,ProDay,72.88,225,NA,4.66,NA,36.5,116,4.25,7.07
2017,Patrick Towles,Boston College,QB,ProDay,76.88,241,NA,4.6,NA,33.5,120,4.49,7.29
2017,Phillip Walker,Temple,QB,ProDay,71.25,214,NA,4.74,NA,29.5,111,4.4,6.9
2016,Jake Rudock,Michigan,QB,ProDay,75,207,NA,4.88,NA,29,111,4.22,7.09
2016,Chance Stewart,Hillsdale (MI),QB,ProDay,77.25,254,NA,5.2,11,26,100,4.74,7.71
2016,Travis Wilson,Utah,QB,ProDay,79.25,232,NA,4.83,NA,31.5,112,4.25,7.05
2014,Garrett Gilbert,Southern Methodist (TX),QB,ProDay,75.88,221,NA,4.83,NA,29.5,117,4.41,7.43
2013,B.J. Daniels,South Florida,QB,ProDay,70.63,222,NA,4.63,20,32.5,114,4.27,7.02
2013,Ryan Griffin,Tulane (LA),QB,ProDay,75.88,221,NA,5.2,NA,25.5,101,4.78,7.64
2013,Jeff Tuel,Washington State,QB,ProDay,75,218,NA,4.6,NA,32,111,4.12,6.9
2011,Adam Froman,Louisville,QB,ProDay,76,220,NA,4.54,NA,30.5,112,4.16,6.8
2010,Jonathan Crompton,Tennessee,QB,ProDay,75.13,222,NA,4.85,NA,31,106,4.34,6.95
2010,Matt Nichols,Eastern Washington,QB,ProDay,73.88,219,NA,4.88,NA,28.5,105,4.18,7.11
2010,Rusty Smith,Florida Atlantic,QB,ProDay,77,224,NA,4.83,NA,23,100,4.61,7.04
2009,Mike Teel,Rutgers,QB,ProDay,75,225,NA,5.13,NA,28.5,104,4.59,7.65
2007,Jeff Smith,Georgetown (KY),QB,ProDay,77.13,237,NA,4.87,17,29,111,4.24,6.97
2007,Tyler Thigpen,Coastal Carolina (SC),QB,ProDay,73.88,223,NA,4.78,NA,29,105,4.4,7.11
2006,Justin Holland,Colorado State,QB,ProDay,74.38,219,NA,4.99,NA,29,105,4.46,7.46
2005,James Kilian,Tulsa (OK),QB,ProDay,75.25,218,NA,4.93,NA,35,120,4.22,6.76
