Year,Name,College,POS,ProDay/Combine,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Started
2021,Ian Book,Notre Dame,QB,ProDay,72,211,NA,4.65,NA,32.5,115,4.2,7,No
2021,Shane Buechele,Southern Methodist (TX),QB,ProDay,72.25,210,NA,4.96,NA,30,114,4.6,7.34,No
2021,K.J. Costello,Mississippi State,QB,ProDay,76.5,225,NA,5.11,NA,27.5,103,4.75,NA,No
2021,Sam Ehlinger,Texas,QB,ProDay,73.13,220,NA,4.84,NA,36.5,114,4.44,7.15,No
2021,Justin Fields,Ohio State,QB,ProDay,74.75,227,NA,4.46,NA,NA,119,NA,NA,No
2021,Feleipe Franks,Arkansas,QB,ProDay,78.63,234,NA,4.61,NA,32.5,117,4.22,7.16,No
2021,Trey Lance,North Dakota State,QB,ProDay,75.88,224,NA,NA,NA,NA,131,NA,NA,No
2021,Justin Fields,Ohio State,QB,ProDay,74.75,227,NA,4.46,NA,NA,119,NA,NA,Yes
2021,Feleipe Franks,Arkansas,QB,ProDay,78.63,234,NA,4.61,NA,32.5,117,4.22,7.16,No
2021,Trey Lance,North Dakota State,QB,ProDay,75.88,224,NA,NA,NA,NA,131,NA,NA,Yes
2021,Trevor Lawrence,Clemson,QB,ProDay,77.63,213,NA,NA,NA,38.5,119,NA,NA,Yes
2021,Kellen Mond,Texas A&M,QB,ProDay,74.63,211,NA,4.62,NA,NA,122,NA,NA,No
2021,Jamie Newman,Wake Forest,QB,ProDay,74.88,234,NA,NA,NA,NA,114,NA,NA,No
2021,Peyton Ramsey,Northwestern,QB,ProDay,73.88,215,NA,4.77,NA,28,108,4.41,7.28,No
2021,Zach Smith,Tulsa (OK),QB,ProDay,75.38,222,NA,5.23,NA,29.5,111,4.52,7.26,No
2021,Zac Thomas,Appalachian State (NC),QB,ProDay,72.63,205,NA,4.59,NA,30,115,4.35,7.08,No
2021,Kyle Trask,Florida,QB,ProDay,77.25,236,NA,5.08,NA,31.5,113,4.38,7.08,No
2021,Brady White,Memphis,QB,ProDay,73,210,NA,4.84,NA,29,118,4.33,6.97,No
2021,Zach Wilson,Brigham Young,QB,ProDay,74.13,214,NA,NA,NA,NA,113,NA,NA,No
2021,Zach Wilson,Brigham Young,QB,ProDay,74.13,214,NA,NA,NA,NA,113,NA,NA,Yes
2020,Kelly Bryant,Missouri,QB,Combine,75.13,229,NA,4.69,NA,35,125,4.51,7.33,No
